id;titulo;volume;uva;teorAlcoolico;classificacao;URL
60;"											(375 ml)""";750 ml;Grillo e Catarratto;Média de 3 anos em grandes tonéis de carvalho;Seco;https://www.wine.com.br/vinhos/marsala-vergine-soleras-dop/prod11984.html#comentarios
61;Bodega Amalia Dos Fincas Malbec 2013 375 ml;5 meses em barricas de carvalho (50% do volume);Sem classificacao;Chardonnay (85%) e outras variedades brancas (15%);Fino;https://www.vinhosevinhos.com/vinho-aracuri-pinot-noir-750-ml.html
62;"											(375 ml)""";2014;Seco;Pinot Grigio (85%) e Chardonnay (15%);Tinto;https://www.wine.com.br/vinhos/altas-cumbres-malbec-2014-375ml/prod15483.html#comentarios
63;Polo Amateur Chardonnay 2015;2015;Seco;;Branco;https://www.wine.com.br/vinhos/cava-negra-chardonnay-2015-375-ml/prod16014.html
64;"											(750 ml)""";Médio;Merlot;;Fino;https://www.vinhosevinhos.com/vinho-luiz-argenta-la-merlot-750-ml.html
65;González Byass Solera 1847 Jerez Cream D.O;2014;Sauvignon Blanc (100%);;Branco;https://www.wine.com.br/vinhos/bodega-amalia-dos-fincas-sauvignon-blanc-2014-375-ml/prod12652.html
66;"											(750 ml)""";2015;Seco;;Tinto;https://www.wine.com.br/vinhos/cava-negra-malbec-2015-375ml/prod15523.html#comentarios
67;Canepa Novísimo Sauvignon Blanc 2016;2015;Meio Seco/Demi-Sec;;Tinto;https://www.wine.com.br/vinhos/toro-loco-tempranillo-2015/prod15536.html
68;"											(750 ml)""";2015;Moscatel ;;Licoroso;https://www.wine.com.br/vinhos/jp-d-o-moscatel-de-setubal-2013-com-cartucho/prod16290.html
69;Cava Negra Chardonnay 2015 375 ml;2012;Seco;13.7% ABV;Branco;https://www.wine.com.br/vinhos/santa-rita-120-sauvignon-blanc-2012-375ml/prod8344.html#comentarios
70;"											(375 ml)""";200 ml;11.5% ABV;Tempranillo (100%);Macabeo, xare-llo e parellada;https://www.wine.com.br/vinhos/espumante-freixenet-carta-nevada-premium-cava-semi-seco-200-ml/prod7048.html
